,plate,fragment,location
125,94,41,/specific/hadar1/filesD/P94-Fg041-R-C01-R01-D11062015-T114656-LR445 _PSC.jpg
126,91,69,/specific/hadar1/filesD/P91-Fg069-R-C01-R01-D31032015-T103046-LR445 _PSC.jpg
127,93,15,/specific/hadar1/filesD/P93-Fg015-R-C01-R01-D26052015-T141543-LR445 _PSC.jpg
128,91,20,/specific/hadar1/filesD/P91-Fg020-R-C01-R01-D29032015-T120426-LR445 _PSC.jpg
129,79,64,/specific/hadar1/filesD/P79-Fg064-R-C01-R01-D24072014-T142426-LR445 _PSC.jpg
130,82,38,/specific/hadar1/filesD/P82-Fg038-R-C01-R01-D09102013-T113509-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
131,7,60,/specific/hadar1/filesC/P7-Fg060-R-C01-R01-D30032016-T124743-LR445 _PSC.jpg
132,74,53,/specific/hadar1/filesC/P74-Fg053-R-C01-R01-D09082015-T125848-LR445 _PSC.jpg
133,43,21,/specific/hadar1/filesC/P43-Fg021-R-C01-R01-D01122015-T102413-LR445 _PSC.jpg
134,91,40,/specific/hadar1/filesD/P91-Fg040-R-C01-R01-D30032015-T124207-LR445 _PSC.jpg
135,68,64,/specific/hadar1/filesC/P68-Fg064-R-C01-R01-D08102015-T104353-LR445 _PSC.jpg
136,79,18,/specific/hadar1/filesD/P79-Fg018-R-C01-R01-D23072014-T143436-LR445 _PSC.jpg
137,69,7,/specific/hadar1/filesC/P69-Fg007-R-C01-R01-D23122015-T140317-LR445 _PSC.jpg
138,43,2,/specific/hadar1/filesC/P43-Fg002-R-C01-R01-D30112015-T115054-LR445 _PSC.jpg
139,82,8,/specific/hadar1/filesD/P82-Fg008-R-C01-R01-D07102013-T103730-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
140,90,7,/specific/hadar1/filesD/P90-Fg007-R-C01-R01-D26042015-T112715-LR445 _PSC.jpg
141,68,58,/specific/hadar1/filesC/P68-Fg058-R-C01-R01-D08102015-T090653-LR445 _PSC.jpg
142,90,82,/specific/hadar1/filesD/P90-Fg082-R-C01-R01-D29042015-T094850-LR445 _PSC.jpg
143,8,93,/specific/hadar1/filesD/P8-Fg093-R-C01-R01-D29062015-T141154-LR445 _PSC.jpg
144,91,81,/specific/hadar1/filesD/P91-Fg081-R-C01-R01-D31032015-T125320-LR445 _PSC.jpg
145,74,20,/specific/hadar1/filesC/P74-Fg020-R-C01-R01-D06082015-T141443-LR445 _PSC.jpg
146,68,45,/specific/hadar1/filesC/P68-Fg045-R-C01-R01-D07102015-T141808-LR445 _PSC.jpg
147,7,128,/specific/hadar1/filesC/P7-Fg128-R-C01-R01-D04042016-T133423-LR445 _PSC.jpg
148,7,30,/specific/hadar1/filesC/P7-Fg030-R-C01-R01-D29032016-T122849-LR445 _PSC.jpg
149,94,45,/specific/hadar1/filesD/P94-Fg045-R-C01-R01-D11062015-T125539-LR445 _PSC.jpg
150,69,19,/specific/hadar1/filesC/P69-Fg019-R-C01-R01-D24122015-T094357-LR445 _PSC.jpg
151,69,42,/specific/hadar1/filesC/P69-Fg042-R-C01-R01-D24122015-T135223-LR445 _PSC.jpg
152,90,81,/specific/hadar1/filesD/P90-Fg081-R-C01-R01-D28042015-T142952-LR445 _PSC.jpg
153,79,51,/specific/hadar1/filesD/P79-Fg051-R-C01-R01-D24072014-T124659-LR445 _PSC.jpg
154,79,21,/specific/hadar1/filesD/P79-Fg021-R-C01-R01-D23072014-T151723-LR445 _PSC.jpg
155,75,62,/specific/hadar1/filesD/P75-Fg062-R-C01-R01-D30072014-T151512-LR445 _PSC.jpg
156,71,11,/specific/hadar1/filesC/P71-Fg011-R-C01-R01-D09092015-T094047-LR445 _PSC.jpg
157,70,52,/specific/hadar1/filesC/P70-Fg052-R-C01-R01-D08092016-T123024-LR445 _PSC.jpg
158,82,12,/specific/hadar1/filesD/P82-Fg012-R-C01-R01-D07102013-T110919-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
159,70,39,/specific/hadar1/filesC/P70-Fg039-R-C01-R01-D08092016-T093547-LR445 _PSC.jpg
160,43,74,/specific/hadar1/filesC/P43-Fg074-R-C01-R01-D06122015-T115259-LR445 _PSC.jpg
161,95,41,/specific/hadar1/filesD/P95-Fg041-R-C01-R01-D06072015-T112003-LR445 _PSC.jpg
162,76,59,/specific/hadar1/filesD/P76-Fg059-R-C01-R01-D06082014-T112156-LR445 _PSC.jpg
163,68,21,/specific/hadar1/filesC/P68-Fg021-R-C01-R01-D07102015-T094822-LR445 _PSC.jpg
164,8,59,/specific/hadar1/filesD/P8-Fg059-R-C01-R01-D28062015-T133721-LR445 _PSC.jpg
165,96,77,/specific/hadar1/filesD/P96-Fg077-R-C01-R01-D12082015-T145601-LR445 _PSC.jpg
166,43,38,/specific/hadar1/filesC/P43-Fg038-R-C01-R01-D01122015-T144922-LR445 _PSC.jpg
167,94,13,/specific/hadar1/filesD/P94-Fg013-R-C01-R01-D10062015-T120509-LR445 _PSC.jpg
168,69,64,/specific/hadar1/filesC/P69-Fg064-R-C02-R01-D28122015-T095007-LR445 _PSC.jpg
169,90,51,/specific/hadar1/filesD/P90-Fg051-R-C01-R01-D28042015-T085819-LR445 _PSC.jpg
170,43,52,/specific/hadar1/filesC/P43-Fg052-R-C01-R01-D03122015-T113226-LR445 _PSC.jpg
171,73,38,/specific/hadar1/filesC/P73-Fg038-R-C01-R01-D20082015-T144505-LR445 _PSC.jpg
172,69,13,/specific/hadar1/filesC/P69-Fg013-R-C01-R01-D23122015-T145154-LR445 _PSC.jpg
173,91,83,/specific/hadar1/filesD/P91-Fg083-R-C01-R01-D31032015-T130844-LR445 _PSC.jpg
174,96,58,/specific/hadar1/filesD/P96-Fg058-R-C01-R01-D12082015-T112839-LR445 _PSC.jpg
175,95,45,/specific/hadar1/filesD/P95-Fg045-R-C01-R01-D06072015-T124714-LR445 _PSC.jpg
176,8,38,/specific/hadar1/filesD/P8-Fg038-R-C01-R01-D23062015-T143701-LR445 _PSC.jpg
177,7,105,/specific/hadar1/filesC/P7-Fg105-R-C01-R01-D03042016-T152700-LR445 _PSC.jpg
178,82,75,/specific/hadar1/filesD/P82-Fg075-R-C01-R01-D13102013-T143315-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
179,69,33,/specific/hadar1/filesC/P69-Fg033-R-C01-R01-D24122015-T123033-LR445 _PSC.jpg
180,92,44,/specific/hadar1/filesD/P92-Fg044-R-C01-R01-D07052015-T170227-LR445 _PSC.jpg
181,70,33,/specific/hadar1/filesC/P70-Fg033-R-C01-R01-D07092016-T145634-LR445 _PSC.jpg
182,96,83,/specific/hadar1/filesD/P96-Fg083-R-C01-R01-D12082015-T155337-LR445 _PSC.jpg
183,96,29,/specific/hadar1/filesD/P96-Fg029-R-C01-R01-D11082015-T131535-LR445 _PSC.jpg
184,76,13,/specific/hadar1/filesD/P76-Fg013-R-C01-R01-D05082014-T112302-LR445 _PSC.jpg
185,78,61,/specific/hadar1/filesD/P78-Fg061-R-C01-R01-D20072014-T152801-LR445 _PSC.jpg
186,70,43,/specific/hadar1/filesC/P70-Fg043-R-C01-R01-D08092016-T102641-LR445 _PSC.jpg
187,94,22,/specific/hadar1/filesD/P94-Fg022-R-C01-R01-D10062015-T135845-LR445 _PSC.jpg
188,8,25,/specific/hadar1/filesD/P8-Fg025-R-C01-R01-D23062015-T122914-LR445 _PSC.jpg
189,70,46,/specific/hadar1/filesC/P70-Fg046-R-C01-R01-D08092016-T110337-LR445 _PSC.jpg
190,7,67,/specific/hadar1/filesC/P7-Fg067-R-C01-R01-D30032016-T143932-LR445 _PSC.jpg
191,76,55,/specific/hadar1/filesD/P76-Fg055-R-C01-R01-D06082014-T104354-LR445 _PSC.jpg
192,7,53,/specific/hadar1/filesC/P7-Fg053-R-C01-R01-D30032016-T105439-LR445 _PSC.jpg
193,69,58,/specific/hadar1/filesC/P69-Fg058-R-C02-R01-D27122015-T144629-LR445 _PSC.jpg
194,581,5,/specific/hadar1/filesC/P581-Fg005-R-C01-R01-D06022014-T124133-LR445 _ColorCalData_IAA_Both_CC110304_110702.jpg
195,70,12,/specific/hadar1/filesC/P70-Fg012-R-C01-R01-D06092016-T144819-LR445 _PSC.jpg
196,8,80,/specific/hadar1/filesD/P8-Fg080-R-C01-R01-D29062015-T114116-LR445 _PSC.jpg
197,95,115,/specific/hadar1/filesD/P95-Fg115-R-C01-R01-D08072015-T153010-LR445 _PSC.jpg
198,43,71,/specific/hadar1/filesC/P43-Fg071-R-C01-R01-D06122015-T113951-LR445 _PSC.jpg
199,71,13,/specific/hadar1/filesC/P71-Fg013-R-C01-R01-D09092015-T095649-LR445 _PSC.jpg
200,75,36,/specific/hadar1/filesC/P75-Fg036-R-C01-R01-D30072014-T110507-LR445 _PSC.jpg
201,96,21,/specific/hadar1/filesD/P96-Fg021-R-C01-R01-D11082015-T114447-LR445 _PSC.jpg
202,95,69,/specific/hadar1/filesD/P95-Fg069-R-C01-R01-D07072015-T122651-LR445 _PSC.jpg
203,43,82,/specific/hadar1/filesC/P43-Fg082-R-C01-R01-D06122015-T135217-LR445 _PSC.jpg
204,71,3,/specific/hadar1/filesC/P71-Fg003-R-C01-R01-D08092015-T140436-LR445 _PSC.jpg
205,95,88,/specific/hadar1/filesD/P95-Fg088-R-C01-R01-D08072015-T091136-LR445 _PSC.jpg
206,915,10,/specific/hadar1/filesD/P915-Fg010-R-C01-R01-D15102015-T090127-LR445 _PSC.jpg
207,43,63,/specific/hadar1/filesC/P43-Fg063-R-C01-R01-D03122015-T132533-LR445 _PSC.jpg
208,91,18,/specific/hadar1/filesD/P91-Fg018-R-C01-R01-D29032015-T114837-LR445 _PSC.jpg
209,68,75,/specific/hadar1/filesC/P68-Fg075-R-C01-R01-D08102015-T133318-LR445 _PSC.jpg
210,43,62,/specific/hadar1/filesC/P43-Fg062-R-C01-R01-D03122015-T131753-LR445 _PSC.jpg
211,43,72,/specific/hadar1/filesC/P43-Fg072-R-C01-R01-D06122015-T112827-LR445 _PSC.jpg
212,93,56,/specific/hadar1/filesD/P93-Fg056-R-C01-R01-D27052015-T150358-LR445 _PSC.jpg
213,75,59,/specific/hadar1/filesD/P75-Fg059-R-C01-R01-D30072014-T142005-LR445 _PSC.jpg
214,96,9,/specific/hadar1/filesD/P96-Fg009-R-C01-R01-D10082015-T140555-LR445 _PSC.jpg
215,90,53,/specific/hadar1/filesD/P90-Fg053-R-C01-R01-D28042015-T091655-LR445 _PSC.jpg
216,95,28,/specific/hadar1/filesD/P95-Fg028-R-C01-R01-D06072015-T090057-LR445 _PSC.jpg
217,69,44,/specific/hadar1/filesC/P69-Fg044-R-C01-R01-D24122015-T140810-LR445 _PSC.jpg
218,70,69,/specific/hadar1/filesC/P70-Fg069-R-C01-R01-D11092016-T124829-LR445 _PSC.jpg
219,71,7,/specific/hadar1/filesC/P71-Fg007-R-C01-R01-D08092015-T150406-LR445 _PSC.jpg
220,91,49,/specific/hadar1/filesD/P91-Fg049-R-C01-R01-D30032015-T135723-LR445 _PSC.jpg
221,90,21,/specific/hadar1/filesD/P90-Fg021-R-C01-R01-D26042015-T141332-LR445 _PSC.jpg
222,78,62,/specific/hadar1/filesD/P78-Fg062-R-C01-R01-D20072014-T153915-LR445 _PSC.jpg
223,73,27,/specific/hadar1/filesC/P73-Fg027-R-C01-R01-D20082015-T131049-LR445 _PSC.jpg
224,69,12,/specific/hadar1/filesC/P69-Fg012-R-C01-R01-D23122015-T144331-LR445 _PSC.jpg
225,75,41,/specific/hadar1/filesC/P75-Fg041-R-C01-R01-D30072014-T114229-LR445 _PSC.jpg
226,43,42,/specific/hadar1/filesC/P43-Fg042-R-C01-R01-D01122015-T153700-LR445 _PSC.jpg
227,43,12,/specific/hadar1/filesC/P43-Fg012-R-C01-R01-D07122015-T122519-LR445 _PSC.jpg
228,79,7,/specific/hadar1/filesD/P79-Fg007-R-C01-R01-D23072014-T130223-LR445 _PSC.jpg
229,43,43,/specific/hadar1/filesC/P43-Fg043-R-C08-R01-D01122015-T163543-LR445 _PSC.jpg
230,7,123,/specific/hadar1/filesC/P7-Fg123-R-C01-R01-D04042016-T123734-LR445 _PSC.jpg
231,74,44,/specific/hadar1/filesC/P74-Fg044-R-C01-R01-D09082015-T114531-LR445 _PSC.jpg
232,70,1,/specific/hadar1/filesC/P70-Fg001-R-C01-R01-D06092016-T103041-LR445 _PSC.jpg
233,7,19,/specific/hadar1/filesC/P7-Fg019-R-C01-R01-D29032016-T095848-LR445 _PSC.jpg
234,95,71,/specific/hadar1/filesD/P95-Fg071-R-C01-R01-D07072015-T124348-LR445 _PSC.jpg
235,72,40,/specific/hadar1/filesC/P72-Fg040-R-C01-R01-D31082015-T094637-LR445 _PSC.jpg
236,79,20,/specific/hadar1/filesD/P79-Fg020-R-C01-R01-D23072014-T144953-LR445 _PSC.jpg
237,94,88,/specific/hadar1/filesD/P94-Fg088-R-C01-R01-D14062015-T153105-LR445 _PSC.jpg
238,82,90,/specific/hadar1/filesD/P82-Fg090-R-C01-R01-D15102013-T104410-LR445 _ColorCalData_IAA_Left_CC110304_110702.jpg
239,71,10,/specific/hadar1/filesC/P71-Fg010-R-C01-R01-D09092015-T093256-LR445 _PSC.jpg
